,area,bathroom_num,bedroom_num,city,desc,dev_name,floor_count,floor_num,furnishing,id,id_string,latitude,locality,longitude,post_date,poster_name,price,project,title,trans,type,url,user_type
12157,1000.0,2.0,2,Mumbai,"2 Bath,Unfurnished,4 floor  This Apartment has 2 bedroom and it is situated on 4 floor and has 2 bathroom You can rent this well-designed Apartment on a monthly rental of 13000. ",Agarwal Group,7.0,4.0,Unfurnished,42276735,domcache_srp_42276735,19.37068218,Vasai West,72.81293356,2019-12-05,Ritesh Lanjewar,12000,Agarwal and Doshi Complex," 2 BHK Apartment for Rent in Agarwal and Doshi Complex, Vasai West 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Vasai-West-in-Mumbai-r3&id=4d423432323736373335,Agent
12196,1000.0,2.0,2,Mumbai,"2 Bath,Unfurnished,11 floor,West facing The project has 2 elevator in every tower. In this Apartment there is No/Rare Powercut 24 Hours Available water supply",Ekta World,15.0,11.0,Unfurnished,46721203,domcache_srp_46721203,19.471987,Dongarpada,72.800387,2020-01-11,Sales Team,10500,Ekta Parksville," 2 BHK Apartment for Rent in Ekta Parksville, Dongarpada 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Dongarpada-in-Mumbai&id=4d423436373231323033,Agent
12211,1000.0,2.0,2,Mumbai,"2 Bath,Unfurnished,4 floor,East facing 2 bhk appartment for rent in vasai east .",Veena Group,7.0,4.0,Unfurnished,46504897,domcache_srp_46504897,19.41070368,Vasai,72.83359245,2019-12-07,Rajkumar  Yadav,13000,Veena Dynasty," 2 BHK Apartment for Rent in Veena Dynasty, Vasai 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Vasai-in-Mumbai&id=4d423436353034383937,Agent
12297,1000.0,2.0,2,Mumbai,"2 Bath,Unfurnished,5 floor,East facing good society, good  security, every day clen common space  , very comfortable  society . family  are living very comfortable  in thes society   .it is very close to school collage  auto rickshaw mandir bus stand cinema market mall easy to connect and reachable to go anywhere any direction in anywhere to go      to u",Space Realty,7.0,5.0,Unfurnished,45964515,domcache_srp_45964515,19.292746666666694,Beverly Park,72.8713433333333,2020-01-13,Raaj,16000,Ashley Tower," 2 BHK Apartment for Rent in Ashley Tower, Beverly Park 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Beverly-Park-in-Mumbai&id=4d423435393634353135,Agent
12345,1000.0,2.0,2,Mumbai,"2 Bath,Semi-Furnished,3 floor 2.5 BHK Flat at Happy Home Heights. Poonam Gardens  Only for couples or Families. Conveniently located, close to both Mira Road and Bhayandar stations. walkable to Silverpar or SK Stone bus tops, Mira Bhaynader Road. All grocery shops, ATMs and restauratns just outside of society.Flat DetailsModular Kitchen having kitchen trollies, cabinets, Gas pipeline.4 Balconies, attached with Hall, Kitchen, both bedrooms.Spacious extra room, can be used for study, puja or storage1 separate bathroom, common toilet and 1 master bedroom. geysers are provided.mosquito nets on all windows",Lucky Homes,11.0,3.0,Semi-Furnished,46119757,domcache_srp_46119757,19.28001,Mira Bhayandar,72.866725,2019-12-14,Meetesh,19000,Happy Home Heights," 2 BHK Apartment for Rent in Happy Home Heights, Mira Bhayandar 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Mira-Bhayandar-in-Mumbai&id=4d423436313139373537,Owner
12630,1000.0,2.0,2,Mumbai,"2 Bath,Furnished,11 floor,East facing L & T new Mhada Group is one of the popular residential project in Powai lake, Mumbai. It is 2 bhk Flat Available for 1 Bachelor.",Mhada Group,22.0,11.0,Furnished,47061601,domcache_srp_47061601,19.120715,Powai,72.89815,2020-01-02,Niraj Dubey,24000,Powai Lake Heights," 2 BHK Apartment for Rent in Powai Lake Heights, Powai 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Powai-in-Mumbai&id=4d423437303631363031,Agent
12732,1000.0,2.0,2,Mumbai,"2 Bath,Furnished,4 floor Very specious and clean property, you fall in love with it in first time visit, no other disturbance. Very Good farnitures. Very close to dmart and station. Reacheble to all vendors like swiggy, zomato, ubereats. and very close to macd.",Kaul Builder And  Developer,6.0,4.0,Furnished,46676169,domcache_srp_46676169,19.3707545,Vasai West,72.81025109999999,2019-12-13,Hardik Hadvani,25000,Kaul Heritage City," 2 BHK Apartment for Rent in Kaul Heritage City, Vasai West 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Vasai-West-in-Mumbai&id=4d423436363736313639,Owner
12917,1000.0,2.0,2,Mumbai,"2 Bath,Semi-Furnished,2 floor Main road touch spacious flat all facility available near by shops,bus stop share taxi available near by for station well maintained society master bed modular kitchen  gas pipe line.",SAI DEEP CONSTRUCTIONS and SHIV SHAKTI BUILDERS & DEVELOPERS,8.0,2.0,Semi-Furnished,41693131,domcache_srp_41693131,19.215398440785503,Charkop Sector 8,72.81869952480041,2019-12-03,Nidhi  Agarwal,24000,Sai Mangal Building," 2 BHK Apartment for Rent in Sai Mangal Building, Charkop Sector 8 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Charkop-Sector-8-in-Mumbai-r1&id=4d423431363933313331,Agent
13024,1000.0,2.0,2,Mumbai,"2 Bath,Semi-Furnished,5 floor,East facing An exclusive 2bhk available on rent In Silver Presidency which is located in Charkop sector Kandivali West. It has wider Carpet of 440 sq.ft. The expected rent is 28,000.The property is in gated society. schools and Market are in vicinity.",Silver Group,10.0,5.0,Semi-Furnished,47112045,domcache_srp_47112045,19.21350743,Charkop Sector 2,72.81941844,2020-01-13,Shobna  Karki,28000,Charkop Silver Presidency," 2 BHK Apartment for Rent in Charkop Silver Presidency, Charkop Sector 2 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Charkop-Sector-2-in-Mumbai&id=4d423437313132303435,Agent
13034,1000.0,2.0,2,Mumbai,"2 Bath,Unfurnished,6 floor A spacious 2 Bedroom flat is available for Rent in Dindoshi, Mumbai. It is located on the 7th Floor. It has a covered area of 1000 Sq-ft. The flat has Granite, Vitrified flooring. The flat has 24 Hours Available water supply and No/Rare Powercut. It also has 1 open parking.",Mantri Realty,7.0,6.0,Unfurnished,41250649,domcache_srp_41250649,19.169636363180498,Film City Road,72.8813072936111,2020-01-11,Sameer  Khan,30000,Mantri Park," 2 BHK Apartment for Rent in Mantri Park, Film City Road 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Film-City-Road-in-Mumbai&id=4d423431323530363439,Agent
13044,1000.0,2.0,2,Mumbai,"2 Bath,Semi-Furnished,4 floor  The Home has 2 bedroom and it is on 4th floor and it has spacious 2 bathroom You get this well-designed Home on a monthly rent of 30000.",DGS Group,4.0,4.0,Semi-Furnished,36569837,domcache_srp_36569837,19.1805465,Charkop Sector 4,72.84018470000002,2020-01-11,m v joshi,30000,Sheetal Sweet Seven," 2 BHK Apartment for Rent in Sheetal Sweet Seven, Charkop Sector 4 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Charkop-Sector-4-in-Mumbai-r1&id=4d423336353639383337,Owner
13115,1000.0,2.0,2,Mumbai,"2 Bath,Semi-Furnished,18 floor,West facing 2 BHK Flat required on rent in Lokhandwala Township, Kandivali East The flat has modular kitchen and parking Available immeaditely",Lokhandwala Construction Industries Pvt Ltd,21.0,18.0,Semi-Furnished,47224615,domcache_srp_47224615,19.199249,Kandivali East,72.873699,2020-01-09,Pankaj Asija,27000,Riviera Tower," 2 BHK Apartment for Rent in Riviera Tower, Kandivali East 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Kandivali-East-in-Mumbai&id=4d423437323234363135,Agent
13123,1000.0,2.0,2,Mumbai,"2 Bath,Unfurnished,6 floor,East facing 2bhk new flat with balcony, all amenities  like swiming pool,  gym and idea for beaclour.",Kamanwala Housing Construction Ltd.,19.0,6.0,Unfurnished,42987947,domcache_srp_42987947,19.1941552,Malad West,72.82588630000002,2020-01-12,Shahid Manaf,30000,Kamanwala Manavsthal," 2 BHK Apartment for Rent in Kamanwala Manavsthal, Malad West 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Malad-West-in-Mumbai&id=4d423432393837393437,Agent
13129,1000.0,2.0,2,Mumbai,"2 Bath,Semi-Furnished,12 floor,East facing Spacious flat with master bedroom with all amenities  swimming pool, gymnasium, parking. Totally pagoda facing all rooms. All facilities available near by",Ahuja Group,14.0,12.0,Semi-Furnished,47213479,domcache_srp_47213479,19.2149599,Kandivali West,72.81775490000003,2020-01-08,Nidhi  Agarwal,31000,Ahuja Oceanic," 2 BHK Apartment for Rent in Ahuja Oceanic, Kandivali West 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Kandivali-West-in-Mumbai&id=4d423437323133343739,Agent
13143,1000.0,2.0,2,Mumbai,"2 Bath,Unfurnished,5 floor,West facing 2 BHK, Multistorey Apartment is available for Rent in Malad West, Mumbai for 30,000",Kamanwala Housing Construction Ltd.,19.0,5.0,Unfurnished,47190131,domcache_srp_47190131,19.1941552,Malad West,72.82588630000002,2020-01-08,Zeeshan,30000,Kamanwala Manavsthal," 2 BHK Apartment for Rent in Kamanwala Manavsthal, Malad West 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Malad-West-in-Mumbai&id=4d423437313930313331,Agent
13163,1000.0,2.0,2,Mumbai,"2 Bath,Unfurnished,12 floor,East facing This property is 2 Bhk flat for rent in Ahuja Ocenic Tower, Charkop Sector 8, Kandivali west., East West facing flat, Unfurnished flat, with modular kitchen, piped gas, GYM, Swimming pool, 24 hours water, Power back up, air condition flat, immediate for rent.",Ahuja Group,18.0,12.0,Unfurnished,47228503,domcache_srp_47228503,19.2149599,Charkop Sector 8,72.81775490000003,2020-01-09,Pradip Lotekar,31000,Ahuja Oceanic," 2 BHK Apartment for Rent in Ahuja Oceanic, Charkop Sector 8 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Charkop-Sector-8-in-Mumbai&id=4d423437323238353033,Agent
13221,1000.0,2.0,2,Mumbai,"2 Bath,Unfurnished,10 floor,East facing this flat is actually 2bhk mt flat for sharing basis for single man",Sheth Creators,22.0,10.0,Unfurnished,47101601,domcache_srp_47101601,19.114625,Andheri East,72.88409300000002,2020-01-03,Parvez Loon,28000,Vasant Oasis," 2 BHK Apartment for Rent in Vasant Oasis, Andheri East 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Andheri-East-in-Mumbai&id=4d423437313031363031,Agent
13289,1000.0,2.0,2,Mumbai,"2 Bath,Unfurnished,14 floor,North facing Serene Un-Furnished Beautiful Pool  view facing 2 bhk appt for rent in a well maintain standard complex on a Higher Floor Having modern flooring fitting,Kitchen Cabinets, Covered Alloted Car parking, Bright, airy, Open View,Vastu complaint, 24 hrs water, Security, Cctv, Garden, Play ground, Childrens play area, Sitouts,Swimming pool, Gymnasium, Indoor n outdoor games, Club house, Community centre, Meditation center, Located at a prime location near infinity - 2 mall, D-Mart, Closeby Malls Schools East West Flyover Fly n Bach Both Wellcome",Kamanwala Housing Construction Ltd.,19.0,14.0,Unfurnished,33508065,domcache_srp_33508065,19.1941552,Malad West,72.82588630000002,2019-12-29,Hemant Dewang,31000,Kamanwala Manavsthal," 2 BHK Apartment for Rent in Kamanwala Manavsthal, Malad West 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Malad-West-in-Mumbai-r8&id=4d423333353038303635,Agent
13344,1000.0,2.0,2,Mumbai,"2 Bath,Semi-Furnished,9 floor,North facing  This Multistorey Apartment at 9th floor faces North direction & overlooks Garden/Park offering a beautiful view from the house, with airy interiors. Modern construction is done in this newly built Multistorey Apartment. Prime facilities are easily accessible from this place with State Bank of India (0 km ). Other key neighbourhood are Kushmesh Chanda Hospital (0 km ). ",Reliable Group,16.0,9.0,Semi-Furnished,46056287,domcache_srp_46056287,19.0652061,Kurla East,72.88086259999999,2019-11-14,Saiyad Shaikh,30000,Gulraj Tower," 2 BHK Apartment for Rent in Gulraj Tower, Kurla East 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Kurla-East-in-Mumbai&id=4d423436303536323837,Owner
13378,1000.0,2.0,2,Mumbai,"2 Bath,Unfurnished,2 floor   Multistorey Apartment has unblocked view on front, Garden/Park. Situated at 2nd floor in a tower of total 6 floors. The Multistorey Apartment is newly constructed. The location has easy access to, Karuna General And Maternity Hospital (0 km ), Shamrao Vithal Cooperative Bank (0 km ), St Lawrence High School Borivali West (0 km ) and Traction Substation Dahisar Western Railway (4 km ). ",Shree Constructions,6.0,2.0,Unfurnished,45627261,domcache_srp_45627261,19.2299827,Borivali West,72.83921099999998,2019-12-23,Suresh,28000,Shree Complex," 2 BHK Apartment for Rent in Shree Complex, Borivali West 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Borivali-West-in-Mumbai&id=4d423435363237323631,Owner
13379,1000.0,3.0,2,Mumbai,"3 Bath,Semi-Furnished,21 floor 2 BHK, Multistorey Apartment is available for Rent in Kandivali East, Mumbai for 29,983",Lokhandwala Construction Industries Pvt Ltd,21.0,21.0,Semi-Furnished,46980905,domcache_srp_46980905,19.2004299,Kandivali East,72.8714801,2019-12-27,Sunil Khadye,29983,Whispering Palms," 2 BHK Apartment for Rent in Whispering Palms, Kandivali East 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Kandivali-East-in-Mumbai&id=4d423436393830393035,Owner
13409,1000.0,3.0,2,Mumbai,"3 Bath,Furnished,18 floor  This spacious Multistorey Apartment is located at 18th floor in a tower of total 25 floors. Prime facilities are easily accessible from this place with Gidbart Municipal School Andheri West (0 km ). Other key neighbourhood are Indian Bank (0 km ). ",Oberoi Realty Limited,25.0,18.0,Furnished,44866995,domcache_srp_44866995,19.1371003,Andheri West,72.83205600000002,2019-11-16,mohil,30000,Oberoi Springs," 2 BHK Apartment for Rent in Oberoi Springs, Andheri West 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Andheri-West-in-Mumbai&id=4d423434383636393935,Owner
13456,1000.0,2.0,2,Mumbai,"2 Bath,Unfurnished,11 floor,West facing It is a FengShui Vaastu compliant apartment.The society has many features for the benefits of residents. Some of them include club housecommunity center, fitness centregym, intercom facility, lifts, swimming pool, park, rain water harvesting and security personnel.It also has amenities like club housecommunity center, fitness centregym, swimming pool, park and security personnel.The society offers full power back up.There is one parking.",Lokhandwala Infrastructure,18.0,11.0,Unfurnished,45801275,domcache_srp_45801275,19.1957538,Kandivali East,72.8682464,2019-11-03,Pankaj Asija,28000,Living Essence," 2 BHK Apartment for Rent in Living Essence, Kandivali East 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Kandivali-East-in-Mumbai&id=4d423435383031323735,Agent
13461,1000.0,2.0,2,Mumbai,"2 Bath,Unfurnished,15 floor,East facing Malad west, marve road, kamanwala manavsthal , near minspace.",Kamanwala Housing Construction Ltd.,19.0,15.0,Unfurnished,42905079,domcache_srp_42905079,19.1941552,Malad West,72.82588630000002,2020-01-04,Shahid Manaf,29500,Kamanwala Manavsthal," 2 BHK Apartment for Rent in Kamanwala Manavsthal, Malad West 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Malad-West-in-Mumbai&id=4d423432393035303739,Agent
13478,1000.0,2.0,2,Mumbai,"2 Bath,Unfurnished,12 floor,North facing  This spacious 2 Bedroom Apartment is situated on 12th floor and has 2 bathroom You get this beautiful flat on a monthly rent of 29500. ",Kamanwala Housing Construction Ltd.,19.0,12.0,Unfurnished,45676159,domcache_srp_45676159,19.1941552,Malad West,72.82588630000002,2020-01-08,Zeeshan,29500,Kamanwala Manavsthal," 2 BHK Apartment for Rent in Kamanwala Manavsthal, Malad West 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Malad-West-in-Mumbai&id=4d423435363736313539,Agent
13603,1000.0,2.0,2,Mumbai,"2 Bath,Unfurnished,7 floor,East facing multiple options available.sea facing and city facing both options available.modular kitchen done up",Dhaval Developers,20.0,7.0,Unfurnished,40877611,domcache_srp_40877611,19.213054,Charkop,72.81889100000002,2019-12-06,Nidhi  Agarwal,30000,Dhaval Sunrise Towers," 2 BHK Apartment for Rent in Dhaval Sunrise Towers, Charkop 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Charkop-in-Mumbai-r1&id=4d423430383737363131,Agent
13608,1000.0,2.0,2,Mumbai,"2 Bath,Unfurnished,17 floor,East facing this is 2 bhk flat good location near athrva college,marve road malad west",Kamanwala Housing Construction Ltd.,19.0,17.0,Unfurnished,38234109,domcache_srp_38234109,19.1941552,Malad West,72.82588630000002,2019-12-11,Ketan,31000,Kamanwala Manavsthal," 2 BHK Apartment for Rent in Kamanwala Manavsthal, Malad West 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Malad-West-in-Mumbai-r6&id=4d423338323334313039,Agent
13686,1000.0,2.0,2,Mumbai,"2 Bath,Semi-Furnished,6 floor,West facing 2 BHK Rental Flat available in a new society in kandivali East The flat is brand newThe flat comes with modular kitchen and covered parking It has an excellent viewThe amenities include swimming pool and gymWorking Bachelors are welcome",Acme Group,36.0,6.0,Semi-Furnished,47292769,domcache_srp_47292769,19.200165,Kandivali East,72.868551,2020-01-12,Pankaj Asija,27000,Acme Oasis," 2 BHK Apartment for Rent in Acme Oasis, Kandivali East 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Kandivali-East-in-Mumbai&id=4d423437323932373639,Agent
13704,1000.0,2.0,2,Mumbai,"2 Bath,Semi-Furnished,5 floor,East facing mahadev tower is a best property in kandivali east ,near main road , market.and all",Thakur Group,18.0,5.0,Semi-Furnished,39718995,domcache_srp_39718995,19.2060972,Kandivali East,72.8645006,2019-11-14,Chunilal Mali,29000,Mahadev Tower," 2 BHK Apartment for Rent in Mahadev Tower, Kandivali East 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Kandivali-East-in-Mumbai-r3&id=4d423339373138393935,Agent
13748,1000.0,2.0,2,Mumbai,"2 Bath,Unfurnished,11 floor,West facing Excellent 2 BHK Flat on rent in Lokhandwala Township, Kandivali East It comes with modular kitchen and 1 parking The property is on the higher floor with excellent open to sky view",Lokhandwala Construction Industries Pvt Ltd,19.0,11.0,Unfurnished,47131507,domcache_srp_47131507,19.1976286684694,Kandivali East,72.8737853266511,2020-01-05,Pankaj Asija,30000,Lokhandwala Spring Leaf," 2 BHK Apartment for Rent in Lokhandwala Spring Leaf, Kandivali East 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Kandivali-East-in-Mumbai&id=4d423437313331353037,Agent
13775,1000.0,2.0,2,Mumbai,"2 Bath,Semi-Furnished,5 floor,North facing This is a semifurnished spacious 2BHK apartment located in a society with all the modern amenities. It’s a vaastu compliant apartment.",Shethcorp Pvt. Ltd.,8.0,5.0,Semi-Furnished,47183885,domcache_srp_47183885,19.2158016666667,Magathane,72.8658866666667,2020-01-07,Mehul Suchak,31000,Clarion Vasant Marvel," 2 BHK Apartment for Rent in Clarion Vasant Marvel, Magathane 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Magathane-in-Mumbai&id=4d423437313833383835,Agent
13802,1000.0,2.0,2,Mumbai,"2 Bath,Unfurnished,16 floor,East facing 2 Bedroom Flat available for Rent in Best complex of Borivali East Near Western Express Highway, Opposite Spectra Motor with all modern amenities like Club House, Gym etc., all major commodity market, Metro Mall etc available nearby the complex, Must See",Kanakia Spaces Realty Pvt. Ltd.,21.0,16.0,Unfurnished,37048455,domcache_srp_37048455,19.2161347733655,Magathane,72.8662271952278,2019-11-23,Sudhir Goyal,31000,Kanakia Samarpan Tower," 2 BHK Apartment for Rent in Kanakia Samarpan Tower, Magathane 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Magathane-in-Mumbai-r6&id=4d423337303438343535,Agent
